frameNum,rotation,translation,imu angular velocity,imu linear velocity,groundtruth
1202,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1203,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1204,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1205,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1206,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1207,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1208,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1209,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1210,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1211,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1212,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1213,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1214,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1215,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1216,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1217,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1218,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1219,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1220,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1221,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1222,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1223,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1224,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1225,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1226,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1227,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1228,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1229,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1230,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1231,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1232,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1233,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1234,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1235,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1236,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1237,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1238,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1239,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1240,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1241,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1242,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1243,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1244,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1245,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1246,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1247,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1248,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1249,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1250,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1251,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1252,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1253,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1254,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1255,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1256,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1257,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1258,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1259,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1260,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1261,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1262,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1263,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1264,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1265,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1266,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1267,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1268,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1269,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1270,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1271,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1272,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1273,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1274,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1275,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1276,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1277,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1278,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1279,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1280,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1281,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
1282,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
